UDI,Product ID,Type,air_temp,proc_temp,rpm,torque,wear,failure,TWF,HDF,PWF,OSF,RNF,mean_air_temp,std_air_temp,mean_proc_temp,std_proc_temp,mean_rpm,std_rpm,mean_torque,std_torque,rolling_mean_air_temp,rolling_std_air_temp,rolling_mean_proc_temp,rolling_std_proc_temp,rolling_mean_rpm,rolling_std_rpm,rolling_mean_torque,rolling_std_torque,torque_speed_product,temp_ratio,lag_1_torque,diff_lag_1_torque,cumulative_sum_torque
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.31333333333333,0.2133630931623658,308.8066666666667,0.24918916127160182,1569.1333333333334,189.77086434007984,37.86666666666667,9.518078037283031,298.56000000000006,0.08944271910021263,309.1,0.12247448713966831,1664.2,283.4408227478886,33.78,13.450167285205048,39886.0,1.0354989953114533,30.0,-10.399999999999999,568.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.33125,0.21823152842795954,308.83125,0.2600480724789262,1567.4375,183.46151958017435,38.525,9.564970813686088,298.6,0.0,309.16,0.054772255751766724,1616.2,278.78791222002434,38.67999999999999,13.413687039736686,74632.8,1.0354989953114533,19.6,28.799999999999997,616.4
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.34705882352944,0.22112679354508952,308.8529411764706,0.2672022807229249,1552.3529411764705,188.20930542100956,39.0,9.466057785583185,298.6,0.0,309.17999999999995,0.04472135955158295,1593.8,301.7460853101495,39.14,13.691165034430048,61092.6,1.0354989953114533,48.4,-1.7999999999999972,663.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.3666666666667,0.23008949665421533,308.8722222222222,0.2718251071716709,1544.4444444444443,185.64711059750607,39.36666666666667,9.314252203888785,298.62,0.044721359550515406,309.2,0.0,1608.0,288.12063445716626,38.040000000000006,12.67312116252346,64296.0,1.0351523267492468,46.6,-1.0,708.6
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.38947368421054,0.24471011612860283,308.8894736842105,0.2746608754286421,1531.8947368421052,188.5273026902182,40.16315789473684,9.69479875020712,298.66,0.08944271910028015,309.2,0.0,1520.8,303.0193063156208,42.94,13.496962621271491,71177.0,1.034805890227577,45.6,8.899999999999999,763.1
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.415,0.26412716235695327,308.90999999999997,0.2826565704916566,1536.9,184.8592352091323,39.78,9.590543588128334,298.72,0.13038404810426416,309.21999999999997,0.04472135955173866,1440.2,143.84436033435583,45.519999999999996,8.056488068631378,53040.0,1.0347942455670793,54.5,-22.0,795.6
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.43809523809523,0.27834545168942254,308.92857142857144,0.28834503141697515,1529.1904761904761,183.60953653000144,39.91904761904762,9.369398008816738,298.78000000000003,0.13038404810428542,309.24,0.05477225575201515,1406.8,133.2992873199253,44.379999999999995,7.949654080524497,58712.50000000001,1.0347942455670793,32.5,10.200000000000003,838.3000000000001
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.45454545454544,0.28238317892583265,308.94545454545454,0.292326094378427,1525.590909090909,179.97821537246676,40.14090909090909,9.20262173259592,298.82000000000005,0.08366600265380587,309.26000000000005,0.05477225575209558,1434.6,122.37156532462924,44.019999999999996,7.864286363046541,64959.99999999999,1.035140562248996,42.7,2.0999999999999943,883.1
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.47391304347826,0.2911066522839199,308.9608695652174,0.295017920002379,1528.0,176.21938805725307,39.7304347826087,9.204022578229226,298.86,0.05477225575117979,309.28000000000003,0.04472135955203418,1468.8,136.81995468498008,41.04,9.719979423846528,48536.7,1.0347942455670793,44.8,-14.099999999999998,913.8000000000001
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.49583333333334,0.3042870022037474,308.9791666666667,0.302136114829159,1537.5833333333333,178.62613778909653,39.145833333333336,9.446323378030145,298.9,0.07071067811923416,309.32,0.044721359552259796,1559.2,150.95595384084726,35.28,8.157327993896045,45180.6,1.0347826086956522,30.7,-5.0,939.5000000000001
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.516,0.3144837038703246,308.996,0.3075169372029248,1538.52,174.9278708496734,39.071999999999996,9.254796954372726,298.91999999999996,0.08366600265391287,309.34000000000003,0.05477225575246984,1545.0,145.64168359367454,36.239999999999995,8.029819425117855,58225.299999999996,1.0347826086956522,25.7,11.599999999999998,976.8000000000001
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.5346153846154,0.3224187434902688,309.0153846153846,0.31710226450444556,1550.923076923077,182.6896654059935,38.465384615384615,9.580853503010776,298.93999999999994,0.08944271910047556,309.38,0.0836660026548347,1642.2,164.74434739923552,32.36,8.779977220927181,43361.3,1.0351170568561874,37.3,-13.999999999999996,1000.1
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.55555555555554,0.33435740128621433,309.0333333333333,0.32462996686168083,1549.4814814814815,179.29849850724233,38.48518518518518,9.395363165032473,299.0,0.07071067811935174,309.41999999999996,0.08366600265498586,1654.6,148.15971112282853,31.2,6.909413868049897,58968.0,1.0347709796054831,23.3,15.7,1039.1
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.575,0.34386151389875097,309.0464285714285,0.32601084151154897,1558.8214285714287,182.7562743659047,37.989285714285714,9.5858823387125,299.04,0.05477225575146325,309.43999999999994,0.05477225575306269,1700.6,155.13639160429122,29.98,7.530405035587413,44550.600000000006,1.0344366432631225,39.0,-14.399999999999999,1063.6999999999998
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.5931034482759,0.35145720577004336,309.0586206896552,0.32679967802409016,1554.6896551724137,180.83716105307008,38.20344827586207,9.483537719898049,299.06000000000006,0.0547722557514866,309.44,0.05477225575306269,1636.8,187.78764602603653,33.68,9.250243240045105,63603.8,1.0344366432631225,24.6,19.6,1107.8999999999999
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.6066666666667,0.35324440433700455,309.07,0.32710854467591977,1559.3,179.47723897571203,37.93333333333333,9.435309081914825,299.06000000000006,0.0547722557514866,309.43999999999994,0.05477225575306269,1663.2,183.70138812758057,32.239999999999995,9.105108456245878,50959.3,1.0347826086956522,44.2,-14.100000000000001,1137.9999999999998
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,298.62258064516135,0.3584314694325471,309.083870967742,0.3307534572190655,1552.1935483870968,180.84218153864416,38.26451612903226,9.458208018685738,299.08000000000004,0.04472135955121842,309.43999999999994,0.05477225575306269,1558.8,191.3562123370966,37.220000000000006,9.777627524098062,64539.8,1.0347709796054831,30.1,18.1,1186.1999999999998
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,298.63437500000003,0.35885964099559925,309.09375,0.3301392668009508,1559.875,183.1313207650764,37.865625,9.574111914512642,299.06,0.0547722557514866,309.41999999999996,0.04472135955294774,1616.0,215.13716554793595,34.52,10.95613983116317,45849.0,1.0347826086956522,48.2,-22.700000000000003,1211.6999999999998
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,298.6454545454546,0.35889666783327234,309.10303030303027,0.32928411790280465,1555.6060606060605,181.90776154997133,38.18181818181818,9.59679160401585,299.04,0.05477225575146325,309.41999999999996,0.04472135955294774,1537.6,196.96903309911434,39.260000000000005,10.715549449281632,68537.7,1.0347826086956522,25.5,22.799999999999997,1259.9999999999998
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,298.6529411764706,0.3561028912578765,309.1088235294118,0.32601138394217294,1558.8235294117646,180.11014653299097,38.01470588235294,9.500371040694857,299.0,0.07071067811938038,309.4,0.07071067812040727,1582.8,194.60267212964987,36.92,10.644341219634025,54112.5,1.0347942455670793,48.3,-15.799999999999997,1292.4999999999998
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.65714285714284,0.351706523953716,309.1085714285714,0.32118478149741797,1558.8285714285714,177.44170305537895,37.92,9.376372056460669,298.96,0.11401754251035484,309.34000000000003,0.15165750888168958,1556.0,184.60227517557848,37.839999999999996,10.091977011468067,54097.3,1.034471218206158,32.5,2.200000000000003,1327.1999999999998
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.66111111111115,0.3474624565764887,309.1111111111111,0.31692971530678876,1555.861111111111,175.79243487343297,38.21666666666667,9.411315377929759,298.9,0.10000000000046905,309.28000000000003,0.13038404810464288,1578.6,156.11310002687154,37.92,10.195685361955809,70567.2,1.034805890227577,34.7,13.899999999999999,1375.7999999999997
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.6675675675676,0.3448462250321565,309.1135135135135,0.31283840535948493,1556.5405405405406,173.3829407529592,38.17567567567568,9.283031275917887,298.88,0.08366600265396257,309.23999999999995,0.114017542510457,1535.2,99.92096877032363,40.160000000000004,7.71284642657948,58022.700000000004,1.0344596855135497,48.6,-11.899999999999999,1412.4999999999998
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.67105263157896,0.3408319667922775,309.11315789473684,0.30858968877308157,1553.4473684210527,172.08352738798982,38.20263157894737,9.158233242873196,298.84000000000003,0.05477225575137244,309.18,0.08366600265385804,1539.2,94.35147057677473,38.339999999999996,6.246038744676497,56408.8,1.034471218206158,36.7,2.5,1451.6999999999998
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.67692307692306,0.33830968253296617,309.11538461538464,0.3048195855864291,1548.974358974359,172.08649709704395,38.52307692307693,9.25585054064559,298.84,0.05477225575137244,309.15999999999997,0.05477225575104026,1482.0,85.27602242131131,41.980000000000004,7.2192104831484025,69915.3,1.0344596855135497,39.2,11.5,1502.3999999999999
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.68,0.3345107410793345,309.115,0.30089609757931224,1544.0,172.75475428538903,38.8725,9.399890547644281,298.84000000000003,0.05477225575137244,309.15999999999997,0.05477225575104026,1440.2,89.22835872075643,45.540000000000006,7.119901684714447,70875.0,1.034471218206158,50.7,1.7999999999999972,1554.8999999999999
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.6829268292683,0.3308341268856715,309.1146341463415,0.297120325465754,1539.560975609756,172.933520287492,39.03170731707317,9.337463226818896,298.84000000000003,0.05477225575137244,309.14,0.054772255750901444,1422.2,95.13516699938037,44.9,6.917008023705022,61834.799999999996,1.034471218206158,52.5,-7.100000000000001,1600.3
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.6857142857143,0.3272736071504872,309.1142857142857,0.2934832264051598,1535.4761904761904,172.85073753982192,39.311904761904756,9.399953356940646,298.82,0.04472135955107146,309.12,0.0447213595503103,1379.6,34.818098741889905,47.72,5.458662839926966,69494.4,1.034471218206158,45.4,5.399999999999999,1651.1
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.68837209302325,0.3238233662600647,309.1139534883721,0.289976514113711,1531.5813953488373,172.67975210916552,39.53953488372093,9.40656152791848,298.82,0.04472135955107146,309.12,0.0447213595503103,1365.4,10.573551910308726,49.7,2.687936011143019,67168.8,1.034471218206158,50.8,-1.6999999999999957,1700.1999999999998
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.6909090909091,0.3204779728440514,309.1159090909091,0.28687829184871333,1527.9545454545455,172.34739856699855,39.74318181818182,9.394169337816342,298.8,0.0,309.12,0.0447213595503103,1364.0,8.602325267042263,49.26,2.663268668384671,66542.0,1.034805890227577,49.1,-0.6000000000000014,1748.6999999999998
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.6933333333333,0.3172323496057293,309.11555555555555,0.2836094910864955,1526.7111111111112,170.58170825712588,39.91555555555556,9.358514731505101,298.8,0.0,309.12,0.0447213595503103,1388.4,46.870033070182394,48.26,1.9982492337042175,69920.0,1.034471218206158,48.5,-1.0,1796.1999999999998
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.69565217391306,0.3140817457210411,309.1152173913043,0.28044994903376447,1525.891304347826,168.76732546594303,40.11521739130435,9.352503346194522,298.8,0.0,309.12,0.0447213595503103,1413.8,61.20620883537872,49.0,1.1999999999997781,73109.90000000001,1.034471218206158,47.5,1.6000000000000014,1845.2999999999997
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.6957446808511,0.3106497026279571,309.1127659574468,0.27789349013495684,1532.6382978723404,173.21304117133442,39.81063829787234,9.483033683615616,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1508.8,194.91972706732378,44.0,10.195096860746329,47549.4,1.0344827586206897,49.1,-23.3,1871.0999999999997
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.6979166666667,0.30769533379582364,309.1125,0.2749274565825987,1530.25,172.15746132352706,39.94583333333333,9.42824995230401,298.78,0.04472135955114137,309.1,0.07071067811876182,1518.8,187.0125664226872,43.44,9.918064327276753,65653.4,1.034471218206158,25.8,20.499999999999996,1917.3999999999996
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.70000000000005,0.30482235263620877,309.1142857142857,0.27233557730613245,1528.1020408163265,171.01696369292816,40.230612244897955,9.5401171394283,298.78000000000003,0.04472135955114137,309.1,0.07071067811876182,1529.4,177.89125891959955,44.519999999999996,10.85642666810768,76807.5,1.034805890227577,46.3,7.600000000000001,1971.2999999999997
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.704,0.3030188247671597,309.116,0.26981475126463644,1525.78,170.05740807390995,40.308,9.45811043820194,298.8,0.0707106781193633,309.12,0.08366600265357482,1517.4,184.62746274593064,43.839999999999996,10.728839639028987,62269.200000000004,1.0344596855135497,53.9,-9.799999999999997,2015.3999999999996
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.7078431372549,0.3012262520132749,309.1156862745098,0.2671123726221622,1551.9607843137255,251.59141168047162,39.6078431372549,10.614515403677267,298.82,0.08366600265399994,309.12,0.08366600265357482,1791.8,625.3652532720379,34.94,19.852531324745463,13160.599999999999,1.0341251254600203,44.1,-39.5,2019.9999999999995
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.71153846153845,0.2994464475700051,309.11538461538464,0.2644896049587195,1548.7115384615386,250.21209329079053,39.901923076923076,10.721747925697661,298.86,0.054772255751402286,309.14,0.05477225575089561,1699.8,649.3271132487846,40.760000000000005,20.748445724921172,75926.7,1.0341251254600203,4.6,50.3,2074.8999999999996
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.7132075471698,0.29680201627520086,309.1132075471698,0.26241316208271787,1547.7358490566037,247.89631447157936,39.9754716981132,10.631645535496977,298.86,0.054772255751402286,309.12,0.08366600265357482,1715.6,641.6718787667105,40.26,20.611234800467432,65568.59999999999,1.034136546184739,54.9,-11.100000000000001,2118.7
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.712962962963,0.2939941574931629,309.1111111111111,0.26038191592037147,1548.0555555555557,245.55777221838315,39.885185185185186,10.551748623885198,298.84000000000003,0.08944271910053354,309.08000000000004,0.08366600265342365,1743.6,628.7454174783304,36.5,19.164941951386126,54931.5,1.0344827586206897,43.8,-8.699999999999996,2153.7999999999997
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.7127272727273,0.2912645135182446,309.1090909090909,0.25839442092985626,1550.6545454545455,244.0358366352974,39.70727272727273,10.536530009754854,298.8,0.10000000000048893,309.0400000000001,0.054772255750341683,1799.4,603.8466692795448,33.7,18.796143221416457,50899.100000000006,1.0344827586206897,35.1,-5.0,2183.8999999999996
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.7142857142857,0.2888400447108639,309.1089285714285,0.2560374871092001,1549.9642857142858,241.86231727881983,39.725,10.44114674997653,298.78,0.08366600265400545,309.04,0.054772255750341683,1529.6,111.99017814076375,40.92,9.417112083860943,61538.4,1.034471218206158,30.1,10.600000000000001,2224.5999999999995
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.7157894736842,0.28647455240026887,309.10877192982457,0.2537438963054673,1548.6842105263158,239.88785757208785,39.771929824561404,10.353566576408843,298.76,0.054772255751461295,309.03999999999996,0.054772255750341683,1548.4,86.13245613588414,38.42,5.705874166155422,62624.799999999996,1.034471218206158,40.7,1.6999999999999957,2266.9999999999995
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.71724137931034,0.2841657108804142,309.10862068965514,0.2515108610947804,1548.0689655172414,237.82042923984338,39.78103448275862,10.26257819418554,298.76000000000005,0.054772255751461295,309.06,0.05477225575044546,1551.6,84.01666501355552,37.72,5.058853625081463,60973.899999999994,1.034471218206158,42.4,-2.1000000000000014,2307.2999999999997
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.7186440677966,0.28191131906621264,309.10677966101696,0.2497339320568435,1549.9830508474577,236.21932324280854,39.60677966101695,10.261391725310405,298.78000000000003,0.044721359551113546,309.06000000000006,0.05477225575044546,1570.8,97.69953940526027,36.6,6.260990336999401,48999.5,1.034136546184739,40.3,-10.799999999999997,2336.7999999999997
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.72,0.27970929218671714,309.1066666666667,0.24761004515826135,1547.1166666666666,235.25896958110135,39.85333333333333,10.351753583808252,298.8,0.0,309.08000000000004,0.0447213595500418,1508.2,101.62529212750142,41.459999999999994,8.850028248542474,74963.2,1.034471218206158,29.5,24.9,2391.2
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.72131147540983,0.27755765412995004,309.10655737704917,0.2455394418140153,1544.5901639344263,234.12328497675324,40.062295081967214,10.394055415387301,298.8,0.0,309.08000000000004,0.0447213595500418,1484.4,113.72686577937513,43.839999999999996,10.105592511080177,73271.8,1.034471218206158,54.4,-1.7999999999999972,2443.7999999999997
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.72258064516126,0.2754545303816478,309.10483870967744,0.24389423894071632,1545.3548387096773,232.27436410870808,40.03225806451613,10.31121900846392,298.8,0.0,309.06000000000006,0.05477225575044546,1507.4,123.09874085464888,43.0,10.42473021233642,60814.4,1.034136546184739,52.6,-14.399999999999999,2481.9999999999995
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.7238095238095,0.27339814150575703,309.1031746031746,0.2422796664269466,1549.857142857143,233.14856520300782,39.76031746031746,10.4530060452228,298.8,0.0,309.04,0.054772255750341683,1570.6,189.76116567938766,39.52,13.882254860072255,41884.1,1.034136546184739,38.2,-15.300000000000004,2504.8999999999996
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.7265625,0.2721123644542599,309.1015625,0.24069488523393584,1553.953125,233.60042058612794,39.54375,10.513451323431271,298.82,0.044721359550957844,309.04,0.054772255750341683,1600.8,217.70323837738383,38.8,14.606334242375794,46930.799999999996,1.0337905654064905,22.9,3.0,2530.7999999999997
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.7307692307692,0.2721000947049802,309.10153846153844,0.23880713170641688,1553.4769230769232,231.8000288295595,39.52923076923077,10.43164840576687,298.86,0.08944271910037427,309.03999999999996,0.054772255750341683,1629.8,188.2729401693191,35.64,11.833553988553044,58787.8,1.0337792642140469,25.9,12.700000000000003,2569.3999999999996
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.7348484848485,0.27202512567346654,309.1015151515152,0.2369631092628448,1551.060606060606,230.8461944697497,39.61363636363637,10.37378183934623,298.9,0.10000000000024949,309.04,0.054772255750341683,1630.0,187.95877207515485,34.14,9.363920119266268,62869.4,1.0337792642140469,38.6,6.5,2614.4999999999995
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.73731343283583,0.27070940524767056,309.09850746268654,0.23644625073982273,1552.9701492537313,229.62327316777018,39.450746268656715,10.380873629585944,298.91999999999996,0.0836660026536513,309.02,0.08366600265323001,1647.4,187.58811262977196,32.239999999999995,9.29774166128526,48187.299999999996,1.033456005352961,45.1,-16.400000000000002,2643.1999999999994
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.73823529411766,0.268789109901052,309.09558823529414,0.23590652305674026,1551.6911764705883,228.1471283180862,39.51911764705883,10.318527856253572,298.91999999999996,0.0836660026536513,309.0,0.0999999999997993,1574.8,169.06418899341165,36.480000000000004,8.793861495384132,64650.6,1.03380187416332,28.7,15.400000000000002,2687.2999999999993
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.7391304347826,0.26690899049517974,309.0927536231884,0.23534632839318054,1551.3333333333333,226.4828695422204,39.415942028985505,10.27816965835852,298.9,0.10000000000024949,308.98,0.10954451150080487,1517.8,105.008094926058,37.78,7.169170105388742,49474.799999999996,1.03380187416332,44.1,-11.700000000000003,2719.6999999999994
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.74142857142857,0.26566452482698316,309.0914285714286,0.2338975727410663,1549.3142857142857,225.4694004019134,39.791428571428575,10.67609740966338,298.88,0.08366600265376341,308.96000000000004,0.08944271909964377,1495.2,115.26794871081904,43.2,14.470314440260088,92637.0,1.0337905654064905,32.4,33.300000000000004,2785.399999999999
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.743661971831,0.2644305981679845,309.09014084507044,0.23247422565429152,1554.5915492957747,228.22692826375297,39.54929577464789,10.794136943457996,298.86,0.054772255751133085,308.93999999999994,0.054772255749822134,1601.2,206.51561684289157,38.7,17.007792331751926,43482.4,1.0337905654064905,65.7,-43.1,2807.999999999999
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.74583333333334,0.26320746382668736,309.09027777777777,0.23083420196104656,1553.1666666666667,226.9363005493882,39.63194444444444,10.740771687712868,298.86,0.05477225575113309,308.97999999999996,0.0836660026531243,1555.8,210.05761114513325,42.06,16.177546167450725,66066.0,1.0341251254600203,22.6,22.9,2853.499999999999
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.7479452054794,0.26199532917860824,309.0904109589041,0.22922840596326113,1550.6438356164383,226.38336277350257,39.6972602739726,10.680511491636684,298.88,0.0447213595506798,309.02,0.08366600265328225,1536.4,224.4132349038265,42.12,16.18755694970676,60783.6,1.0341251254600203,45.5,-1.1000000000000014,2897.899999999999
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.75135135135133,0.26183924967310107,309.09054054054053,0.2276556633902997,1551.2027027027027,224.87883981231994,39.633783783783784,10.621150739025563,298.91999999999996,0.0447213595505527,309.06,0.05477225575052525,1549.4,225.61205641543185,42.64,15.835182348176467,55720.0,1.0337792642140469,44.4,-9.399999999999999,2932.899999999999
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.75333333333333,0.2606298676819642,309.08933333333334,0.2263537851153304,1551.8666666666666,223.42822375691742,39.535999999999994,10.583077261568315,298.91999999999996,0.0447213595505527,309.06000000000006,0.05477225575052525,1587.6,211.85915132464777,35.96,9.42141178380393,51712.299999999996,1.0337905654064905,35.0,-2.700000000000003,2965.1999999999994
